Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2019
TIME       : 16:00:40
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\Data Collection_01_19\CSV\vei_v1280_190417160039_V1280.CSV
CREATED BY : Diver-Office 10.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..06-V1280  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =vei_v1280
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..06-V1280  317.
  Instrument number       =          UTC-4     
  Location                =vei_v1280
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =18:01:17 05/06/17
  End date / time         =18:01:15 17/04/19
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2017/06/09 12:01:18,1065.992,24.907,34.028
2017/06/09 13:01:18,1076.258,24.953,34.348
2017/06/09 14:01:18,1086.467,24.997,34.696
2017/06/09 15:01:18,1088.800,25.057,34.796
2017/06/09 16:01:18,1082.150,25.167,34.616
2017/06/09 17:01:18,1072.175,25.340,34.288
2017/06/09 18:01:18,1063.658,25.483,33.556
2017/06/09 19:01:18,1063.192,25.547,33.512
2017/06/09 20:01:18,1063.367,25.643,33.544
2017/06/09 21:01:18,1063.950,25.740,33.580
2017/06/09 22:01:18,1064.592,25.823,33.632
2017/06/09 23:01:18,1064.883,25.870,33.652
2017/06/10 00:01:18,1064.883,25.883,33.684
2017/06/10 01:01:18,1064.592,25.853,33.688
2017/06/10 02:01:18,1064.125,25.787,33.704
2017/06/10 03:01:18,1064.417,25.697,33.772
2017/06/10 04:01:18,1065.175,25.613,33.924
2017/06/10 05:01:18,1065.175,25.487,33.936
2017/06/10 06:01:18,1065.350,25.357,33.956
2017/06/10 07:01:18,1065.992,25.230,33.944
2017/06/10 08:01:18,1066.108,25.107,33.920
2017/06/10 09:01:18,1066.458,25.047,33.944
2017/06/10 10:01:18,1066.283,25.037,33.912
2017/06/10 11:01:18,1066.108,25.053,33.880
2017/06/10 12:01:18,1066.925,25.080,33.952
2017/06/10 13:01:18,1076.375,25.140,34.444
2017/06/10 14:01:18,1088.042,25.193,34.756
2017/06/10 15:01:18,1095.917,25.263,34.936
2017/06/10 16:01:18,1094.517,25.370,34.924
2017/06/10 17:01:18,1086.467,25.547,34.684
2017/06/10 18:01:18,1076.375,25.757,34.084
2017/06/10 19:01:18,1068.325,25.890,32.740
2017/06/10 20:01:18,1067.975,25.897,32.716
2017/06/10 21:01:18,1067.217,25.967,32.772
2017/06/10 22:01:18,1067.508,26.043,32.836
2017/06/10 23:01:18,1067.975,26.100,32.860
2017/06/11 00:01:18,1067.858,26.130,32.928
2017/06/11 01:01:18,1067.683,26.137,32.988
2017/06/11 02:01:18,1067.858,26.113,33.044
2017/06/11 03:01:18,1070.017,26.067,33.372
2017/06/11 04:01:18,1077.775,26.023,34.108
2017/06/11 05:01:18,1081.975,25.993,34.416
2017/06/11 06:01:18,1075.908,25.983,33.828
2017/06/11 07:01:18,1070.658,25.947,33.324
2017/06/11 08:01:18,1070.192,25.907,33.300
2017/06/11 09:01:18,1070.483,25.873,33.304
2017/06/11 10:01:18,1070.308,25.843,33.292
2017/06/11 11:01:18,1070.192,25.827,33.332
2017/06/11 12:01:18,1069.842,25.823,33.348
2017/06/11 13:01:18,1074.683,25.840,33.644
2017/06/11 14:01:18,1083.375,25.883,34.224
2017/06/11 15:01:18,1092.358,25.957,34.628
2017/06/11 16:01:18,1097.025,26.063,34.804
2017/06/11 17:01:18,1090.783,26.267,34.524
2017/06/11 18:01:18,1082.150,26.460,34.040
2017/06/11 19:01:18,1071.417,26.613,33.340
2017/06/11 20:01:18,1070.017,26.563,33.288
2017/06/11 21:01:18,1070.950,26.597,33.296
2017/06/11 22:01:18,1070.775,26.623,33.308
2017/06/11 23:01:18,1070.775,26.633,33.348
2017/06/12 00:01:18,1071.125,26.613,33.392
2017/06/12 01:01:18,1070.950,26.573,33.388
2017/06/12 02:01:18,1069.842,26.517,33.436
2017/06/12 03:01:18,1069.258,26.443,33.444
2017/06/12 04:01:18,1069.083,26.367,33.464
2017/06/12 05:01:18,1073.867,26.303,33.804
2017/06/12 06:01:18,1071.242,26.247,33.660
2017/06/12 07:01:18,1070.308,26.160,33.564
2017/06/12 08:01:18,1070.483,26.083,33.584
2017/06/12 09:01:18,1070.658,26.013,33.580
2017/06/12 10:01:18,1070.483,25.950,33.584
2017/06/12 11:01:18,1070.483,25.910,33.600
2017/06/12 12:01:18,1070.483,25.880,33.620
2017/06/12 13:01:18,1069.842,25.860,33.624
2017/06/12 14:01:18,1071.417,25.860,33.748
2017/06/12 15:01:18,1080.108,25.870,34.180
2017/06/12 16:01:18,1086.933,25.893,34.460
2017/06/12 17:01:18,1086.933,25.937,34.508
2017/06/12 18:01:18,1077.775,26.023,34.124
2017/06/12 19:01:18,1069.083,26.100,33.540
2017/06/12 20:01:18,1068.150,26.107,33.496
2017/06/12 21:01:18,1068.325,26.137,33.528
2017/06/12 22:01:18,1068.325,26.167,33.528
2017/06/12 23:01:18,1068.325,26.170,33.540
2017/06/13 00:01:18,1067.975,26.147,33.572
2017/06/13 01:01:18,1067.217,26.093,33.588
2017/06/13 02:01:18,1066.925,26.013,33.588
2017/06/13 03:01:18,1066.458,25.920,33.616
2017/06/13 04:01:18,1066.575,25.823,33.656
2017/06/13 05:01:18,1072.350,25.853,33.984
2017/06/13 06:01:18,1072.350,25.840,33.968
2017/06/13 07:01:18,1069.375,25.737,33.732
2017/06/13 08:01:18,1069.375,25.647,33.688
2017/06/13 09:01:18,1069.725,25.573,33.704
